Госномер / Наименование ТС,Время (мин/макс),Адресс,Локация,"Паллет, шт",Тип операции на точке
A111AA809,00:26 - 02:37,Склад,"55.668845, 37.647295",14,Загрузка
A111AA809,03:29 - 04:40,"MО, Дмитровский р, Семеновское, c113","56.32394, 37.13097",1.0,Разгрузка
A111AA809,11:00 - 12:11,"ВО, с Ямное, ул Ленина, д. 63","51.7905, 39.1522",6.0,Разгрузка
A111AA809,11:44 - 13:55,"ВО, с. Ямное, Фельдмаршала Кутузова, 32а","51.81282, 39.13987",7.0,Разгрузка
A111AA809,17:09 - 20:20,Склад,"55.668845, 37.647295",14,Загрузка
