Госномер / Наименование ТС,Время (мин/макс),Адресс,Локация,"Паллет, шт",Тип операции на точке
A111AA811,-1:20 - 01:22,Склад,"55.668845, 37.647295",12,Загрузка
A111AA811,01:20 - 03:22,"ООО ""Лента"", 142605, Московская обл., г. Орехово-Зуево, ул. Ленина, д. 44А","55.80203, 38.98122",5.0,Разгрузка
A111AA811,02:38 - 04:40,"Россия, Московская область, Орехово-Зуевский район, посёлок Авсюнино, ул. Энтузиастов, 40","55.55885, 39.10485",4.9,Разгрузка
A111AA811,05:05 - 08:07,Склад,"55.668845, 37.647295",12,Загрузка
